Bright spot,Theta,Y/Z,h,k,l, plane_Theta, plane_K/L,
#0,5.151500656608945,-3.6119402985074625,1,-3,1,5.018666349554359,-3.0,
#1,3.58396863142003,1.3986486486486487,1,-1,-1,3.7570723622601805,1.0,
#2,5.041206642209018,-9.411764705882351,1,-3,1,5.018666349554359,-3.0,
#3,5.149691739278017,-0.7857142857142858,1,-1,3,5.018666349554359,-0.3333333333333333,
#4,3.4759951456792275,1.8589743589743588,1,-1,-1,3.7570723622601805,1.0,
#5,3.5883327781928736,0.35655737704918034,1,-1,-1,3.7570723622601805,1.0,
#6,5.032338528964166,-0.6335877862595419,1,-1,3,5.018666349554359,-0.3333333333333333,
#7,3.4820805050153267,0.24390243902439024,1,-1,-1,3.7570723622601805,1.0,
#8,0.30740608353592785,0.1232876712328767,1,1,1,0.6154797086703874,1.0,
#9,1.9017647712940922,-0.375,1,1,-3,1.877073695964566,-0.3333333333333333,
#10,0.4315524568736138,0.3189655172413793,1,1,1,0.6154797086703874,1.0,
#11,1.826055277320586,-0.9879518072289156,1,3,-3,1.802273690765075,-1.0,
#12,2.0146909850971557,-0.5954545454545455,2,0,-4,2.0344439357957027,-0.0,
#13,0.3156521205214987,2.3333333333333335,1,1,1,0.6154797086703874,1.0,
#14,1.8943582967261734,-3.707317073170732,1,3,-1,1.877073695964566,-3.0,
#15,0.4376842366628081,1.5555555555555554,1,1,1,0.6154797086703874,1.0,
#16,2.013111730520822,-2.484210526315789,2,0,-4,2.0344439357957027,-0.0,
