Bright spot,x,y,L,D, Theta, sin(theta), avg_intensity 
#1,-241,-29,23.30290008,15,0.499432508,0.47892744,0.427860063
#2,-199,61,19.98138013,15,0.463424037,0.447013616,0.442673384
#3,-177,-107,19.85552941,15,0.461905917,0.445655101,0.430633842
#4,-137,19,13.27787935,15,0.362286681,0.354413408,0.448960778
#5,-127,-56,13.32464784,15,0.363159394,0.355229337,0.446263462
#6,-126,162,19.70223135,15,0.460040072,0.443984014,0.452122093
#7,-89,-187,19.88150497,15,0.46222026,0.445936481,0.441920922
#8,-85,45,9.23298435,15,0.275881044,0.27239477,0.497447475
#9,-72,108,12.46078521,15,0.346596707,0.339698867,0.489039755
#10,-48,-127,13.03374574,15,0.357687003,0.350108566,0.466644814
#11,-39,237,23.05799297,15,0.497023029,0.47681088,0.487939535
#12,12,118,11.3864256,15,0.324648284,0.318975462,0.471510983
#13,27,-124,12.18292576,15,0.34106642,0.334492275,0.424104305
#14,47,60,7.316812421,15,0.22691498,0.224972663,0.70584792
#15,62,186,18.82187663,15,0.448960491,0.434029277,0.440813672
#16,83,-182,19.20311975,15,0.453836078,0.43841651,0.467091861
#17,108,42,11.12440776,15,0.319060468,0.313674585,0.448283061
#18,109,-41,11.17977603,15,0.320249073,0.31480298,0.424272327
#19,169,100,18.85147676,15,0.44934337,0.43437418,0.432131872
#20,176,-89,18.93342948,15,0.4503996,0.435325318,0.484729896
#21,239,8,22.95684996,15,0.496017418,0.475926701,0.425960438
